date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:22:39	35548/35548	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2022:22:40%20GMT	https://www.rentappeal.com/atlanta-homes-for-rent	C:/Users/Saucer/Desktop/rentappeal/www.rentappeal.com/atlanta-homes-for-rent.html	(from )
06:22:40	122/122	---MC-	200	added ('OK')	text/plain	etag:3e7ad468df29b68768370cdf7cddde1f	https://www.rentappeal.com/robots.txt		(from )
06:22:40	117901/117901	---MC-	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2022:22:40%20GMT	https://www.rentappeal.com/_system/css/ion-app.min.css?v=20240326	C:/Users/Saucer/Desktop/rentappeal/www.rentappeal.com/_system/css/ion-app.min23f6.css	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:40	8012/8012	---MC-	200	added ('OK')	image/png	etag:e9335e33e260c25144041d459ecab096	https://www.rentappeal.com/favicon.png	C:/Users/Saucer/Desktop/rentappeal/www.rentappeal.com/favicon.png	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:41	232691/232691	---M-Z	200	added ('OK')	text/css	etag:%22642a9d48-77e3%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.0-alpha3/css/bootstrap.min.css	C:/Users/Saucer/Desktop/rentappeal/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.0-alpha3/css/bootstrap.min.css	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:41	77049/77049	---MC-	200	added ('OK')	text/css	etag:84539d5f87e674ebe4158e2401745a95	https://www.rentappeal.com/css/animate-v2.min.css	C:/Users/Saucer/Desktop/rentappeal/www.rentappeal.com/css/animate-v2.min.css	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:41	104829/104829	---MC-	200	added ('OK')	text/css	etag:6cd5d6a41a331e3284c815d15859838b	https://www.rentappeal.com/css/styles.css?v6	C:/Users/Saucer/Desktop/rentappeal/www.rentappeal.com/css/styles0af4.css	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:41	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/Saucer/Desktop/rentappeal/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:42	80420/80420	---M-Z	200	added ('OK')	application/javascript	etag:%22637c82db-5b13%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.2.3/js/bootstrap.bundle.min.js	C:/Users/Saucer/Desktop/rentappeal/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.2.3/js/bootstrap.bundle.min.js	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:42	5349/5349	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-14e5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.scrollfire/1.4.0/jquery.scrollfire.min.js	C:/Users/Saucer/Desktop/rentappeal/cdnjs.cloudflare.com/ajax/libs/jquery.scrollfire/1.4.0/jquery.scrollfire.min.js	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:42	13275/13275	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2021%20Sep%202024%2022:22:43%20GMT	https://kit.fontawesome.com/8e7537a24b.js	C:/Users/Saucer/Desktop/rentappeal/kit.fontawesome.com/8e7537a24b.js	(from https://www.rentappeal.com/atlanta-homes-for-rent)
06:22:42	7057/7057	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed0-1b91%22	https://cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.0/lazysizes.min.js	C:/Users/Saucer/Desktop/rentappeal/cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.0/lazysizes.min.js	(from https://www.rentappeal.com/atlanta-homes-for-rent)
